Name;zcmb;zhel;mb;e_mb;x1;e_x1;c;e_c;logMst;e_logMst;tmax;e_tmax;cov(mb,s);cov(mb,c);cov(s,c);set;RAJ2000;DEJ2000;bias
SDSS9032    ;0.252;0.254;21.349;0.127;0.872;0.594;0.016;0.051;8.58;0.29;53688.941;0.493;0.02566;0.00199;0.00892;2;337.884569;-0.493577;0
SDSS9457    ;0.255;0.2569;21.432;0.13;-0.361;0.567;-0.021;0.058;10.864;0.226;53688.823;0.517;0.02534;0.00245;0.00988;2;335.814358;0.253036;0
SDSS9467    ;0.217;0.2184;21.069;0.125;-1.396;0.37;-0.142;0.056;11.817;0.521;53688.824;0.336;0.01289;0.00189;0.00525;2;328.951393;1.180792;-0.001
Torngasek   ;1.266;1.265;25.736;0.129;0.287;0.56;0.021;0.048;10.834;0.391;52693.622;1.79;-0.00382;-0.00017;0.00306;4;189.33196;62.310417;0
Vilas       ;0.936;0.935;24.482;0.12;0.056;0.29;-0.025;0.059;10.906;0.095;52726.208;1.379;-0.00597;0.00088;-0.00304;4;189.37083;62.191056;0
sn1990af    ;0.05;0.0503;17.762;0.139;-2.27;0.112;-0.049;0.044;10.702;0.281;48195.572;0.138;-0.00022;0.00113;-0.0008;3;323.747521;-62.737091;-0.015
sn1990o     ;0.03;0.0307;16.24;0.143;0.475;0.175;-0.046;0.03;10.798;0.281;48076.401;0.414;0.00014;0.00088;-0.00021;3;258.90069;16.32203;-0.01
sn1992ae    ;0.075;0.075;18.466;0.142;-0.709;0.155;-0.022;0.054;10.308;0.3;48804.258;0.547;-0.00137;0.00169;-0.00131;3;322.07476;-61.55038;-0.026
sn1992ag    ;0.025;0.025;16.317;0.148;0.113;0.308;0.126;0.052;10.532;0.281;48806.376;0.585;-0.00074;0.00204;-0.00154;3;201.041058;-23.878802;-0.01
sn1992al    ;0.014;0.0146;14.476;0.157;-0.167;0.084;-0.108;0.027;10.043;0.281;48838.336;0.127;0.00019;0.00069;-0.00012;3;311.485384;-51.394406;-0.009
sn1992bc    ;0.021;0.0202;15.117;0.147;0.736;0.09;-0.11;0.026;9.916;0.281;48912.605;0.065;0.0003;0.00068;-0.00011;3;46.316884;-39.559597;-0.009
sn1992bg    ;0.035;0.0352;16.755;0.145;-0.464;0.12;-0.047;0.045;10.712;0.281;48916.159;0.456;-0.00068;0.00156;-0.00094;3;115.485632;-62.519456;-0.011
sn1992bh    ;0.042;0.045;17.625;0.141;-0.011;0.152;0.047;0.046;10.543;0.3;48920.398;0.433;-0.00158;0.00129;-0.00204;3;74.862819;-58.830399;-0.013
