    0.423858191935486772E+01   -0.294124386793933809E+03
    0.424438079304913263E+01   -0.293696222768165171E+03
    0.470062979913057521E+01   -0.293451689306180924E+03
    0.469074846584858918E+01   -0.292824695616960526E+03
    0.426032280921936035E+01   -0.292579628800041974E+03
    0.468406272318234862E+01   -0.292414811790920794E+03
    0.468322910386933167E+01   -0.292364519824273884E+03
    0.426423668861389160E+01   -0.292318984574638307E+03
    0.468069312945942873E+01   -0.292212638752069324E+03
    0.468038212375601237E+01   -0.292194127887487411E+03
    0.467869745078281252E+01   -0.292094296099152416E+03
    0.467554764791607447E+01   -0.291909632482100278E+03
    0.467267685368825703E+01   -0.291743589085992426E+03
    0.467085200931239442E+01   -0.291639166020322591E+03
    0.427585970359261225E+01   -0.291576075049117208E+03
    0.466696929931640625E+01   -0.291419897777028382E+03
    0.427864656245247943E+01   -0.291404840181581676E+03
    0.466634504293222285E+01   -0.291385014393366873E+03
    0.466592887155755154E+01   -0.291361815825570375E+03
    0.466577809190164672E+01   -0.291353422204963863E+03
    0.427988092259864494E+01   -0.291329845591448247E+03
    0.428389331195208634E+01   -0.291089664091356099E+03
    0.465795488579623118E+01   -0.290926155261229724E+03
    0.465776508503400155E+01   -0.290915990401525050E+03
    0.428699242350503162E+01   -0.290907907582819462E+03
    0.465743263012590436E+01   -0.290898208646569401E+03
    0.465699475110084560E+01   -0.290874832869041711E+03
    0.428823885475772748E+01   -0.290835728375241160E+03
    0.428863236617725629E+01   -0.290813050311990082E+03
    0.465542341195967069E+01   -0.290791367047931999E+03
    0.428923318824526056E+01   -0.290778526402078569E+03
    0.465378688605296631E+01   -0.290705135468393564E+03
    0.465373167383798858E+01   -0.290702238641679287E+03
    0.465359491742378140E+01   -0.290695066911634058E+03
    0.465321040203631320E+01   -0.290674928938504308E+03
    0.465318759032252682E+01   -0.290673735469579697E+03
    0.465303325258954281E+01   -0.290665664430707693E+03
    0.465262158170129236E+01   -0.290644167221616954E+03
    0.465195026868659145E+01   -0.290609208341222256E+03
    0.429224486322396359E+01   -0.290607318490743637E+03
    0.465154963487057138E+01   -0.290588402316439897E+03
    0.429286090341920179E+01   -0.290572676691226661E+03
